ModelIdentifier,ERConstraint,LRConstraint,AIC,RunDate
HourlyNO2_MIcountPrim_cityNYC,3dfevenknots,3dfevenknots,1692342.4176946403,2022-08-12T16:33:39Z
HourlyNO2_MIcountPrim_cityNYC,3dfevenknots,4dfevenknots,1692342.5297050956,2022-08-12T16:34:33Z
HourlyNO2_MIcountPrim_cityNYC,3dfevenknots,5dfevenknots,1692343.696038793,2022-08-12T16:35:21Z
HourlyNO2_MIcountPrim_cityNYC,4dfevenknots,3dfevenknots,1692339.659775062,2022-08-12T16:33:55Z
HourlyNO2_MIcountPrim_cityNYC,4dfevenknots,4dfevenknots,1692337.026832907,2022-08-12T16:34:47Z
HourlyNO2_MIcountPrim_cityNYC,4dfevenknots,5dfevenknots,1692340.6792122952,2022-08-12T16:35:37Z
HourlyNO2_MIcountPrim_cityNYC,5dfevenknots,3dfevenknots,1692343.4606782177,2022-08-12T16:34:11Z
HourlyNO2_MIcountPrim_cityNYC,5dfevenknots,4dfevenknots,1692342.7472873365,2022-08-12T16:35:03Z
HourlyNO2_MIcountPrim_cityNYC,5dfevenknots,5dfevenknots,1692348.242429679,2022-08-12T16:35:54Z
HourlyNO2_MIcountPrim_cityNYC,lin,3dfevenknots,1692340.0857774387,2022-08-12T16:33:26Z
HourlyNO2_MIcountPrim_cityNYC,lin,4dfevenknots,1692341.117408557,2022-08-12T16:34:15Z
HourlyNO2_MIcountPrim_cityNYC,lin,5dfevenknots,1692342.619571844,2022-08-12T16:35:08Z
HourlyNO2_MIcountPrim_Main,3dfevenknots,4dfevenknots,1758684.6895975687,2022-09-14T17:33:01Z
HourlyNO2_MIcountPrim_Main,3dfevenknots,5dfevenknots,1758683.701750057,2022-09-14T17:35:21Z
HourlyNO2_MIcountPrim_Main,3dfevenknots,6dfevenknots,1758688.0256922303,2022-09-14T17:37:45Z
HourlyNO2_MIcountPrim_Main,4dfevenknots,4dfevenknots,1758683.7928781596,2022-09-14T17:33:40Z
HourlyNO2_MIcountPrim_Main,4dfevenknots,5dfevenknots,1758685.2300671835,2022-09-14T17:36:00Z
HourlyNO2_MIcountPrim_Main,4dfevenknots,6dfevenknots,1758691.7673804413,2022-09-14T17:38:26Z
HourlyNO2_MIcountPrim_Main,5dfevenknots,4dfevenknots,1758682.987452214,2022-09-14T17:34:20Z
HourlyNO2_MIcountPrim_Main,5dfevenknots,5dfevenknots,1758685.636322799,2022-09-14T17:36:43Z
HourlyNO2_MIcountPrim_Main,5dfevenknots,6dfevenknots,1758689.903800149,2022-09-14T17:39:10Z
HourlyNO2_MIcountPrim_Main,lin,4dfevenknots,1758681.214992964,2022-09-14T17:32:27Z
HourlyNO2_MIcountPrim_Main,lin,5dfevenknots,1758682.9146464642,2022-09-14T17:34:46Z
HourlyNO2_MIcountPrim_Main,lin,6dfevenknots,1758684.780005259,2022-09-14T17:37:08Z
